매출업종명,매출업종코드,상가소분류코드,상가소분류명,상가중분류명,전국사업체수
PC방,CS200019,R10406,PC방,유원지·오락,7464
가구,CS300031,G21101,가구 소매업,가구 소매,9862
가방,CS300015,G20911,가방 소매업,섬유·의복·신발 소매,3999
가전제품,CS300032,G20803,가전제품 소매업,가전·통신 소매,8161
가전제품수리,CS200032,S20501,가전제품 수리업,가전제품 수리,13368
고시원,CS200036,I10201,기숙사/고시원,기타 숙박,5829
골프연습장,CS200017,R10311,골프 연습장,스포츠 서비스,11768
네일숍,CS200029,S20703,네일숍,이용·미용,27493
노래방,CS200037,R10407,노래방,유원지·오락,26573
당구장,CS200016,R10310,당구장,스포츠 서비스,12287
문구,CS300021,G21302,문구/회화용품 소매업,오락용품 소매,8893
미곡판매,CS300006,G20501,곡물/곡분 소매업,식료품 소매,2029
미용실,CS200028,S20701,미용실,이용·미용,120979
반찬가게,CS300010,G20509,반찬/식료품 소매업,식료품 소매,15005
부동산중개업,CS200033,L10203,부동산 중개/대리업,부동산 서비스,105445
분식전문점,CS100008,I21007,김밥/만두/분식,기타 간이,44410
서적,CS300020,G21301,서점,오락용품 소매,6762
섬유제품,CS300027,G20906,침구류/커튼 소매업,섬유·의복·신발 소매,8720
섬유제품,CS300027,G20909,실/섬유제품 소매업,섬유·의복·신발 소매,3217
세탁소,CS200031,S20901,세탁소,세탁,20146
세탁소,CS200031,S20902,셀프 빨래방,세탁,4990
수산물판매,CS300008,G20505,수산물 소매업,식료품 소매,9011
슈퍼마켓,CS300001,G20404,슈퍼마켓,종합 소매,63862
스포츠 강습,CS200005,P10601,태권도/무술학원,기타 교육,11802
스포츠 강습,CS200005,P10603,요가/필라테스 학원,기타 교육,21718
스포츠클럽,CS200024,R10307,헬스장,스포츠 서비스,14634
시계및귀금속,CS300017,G21701,시계/귀금속 소매업,시계·귀금속 소매,10516
신발,CS300014,G20910,신발 소매업,섬유·의복·신발 소매,7822
안경,CS300016,G21602,안경렌즈 소매업,안경·정밀기기 소매,9804
애완동물,CS300029,G22001,애완동물/애완용품 소매업,애완동물·용품 소매,10309
양식음식점,CS100004,I20401,경양식,서양식,19598
양식음식점,CS100004,I20402,파스타/스테이크,서양식,2041
양식음식점,CS100004,I20403,패밀리레스토랑,서양식,410
양식음식점,CS100004,I20499,기타 서양식 음식점,서양식,1051
여관,CS200034,I10102,여관/모텔,일반 숙박,24140
예술학원,CS200003,P10609,음악학원,기타 교육,15877
예술학원,CS200003,P10611,미술학원,기타 교육,9322
완구,CS300026,G21306,장난감 소매업,오락용품 소매,5536
외국어학원,CS200002,P10615,외국어학원,기타 교육,5485
운동/경기용품,CS300024,G21304,운동용품 소매업,오락용품 소매,11120
육류판매,CS300007,G20503,정육점,식료품 소매,17852
의료기기,CS300019,G21502,의료기기 소매업,의약·화장품 소매,7542
의약품,CS300018,G21501,약국,의약·화장품 소매,25072
인테리어,CS300035,M11201,인테리어 디자인업,전문 디자인,24155
일반교습학원,CS200001,P10501,입시·교과학원,일반 교육,63767
일반의류,CS300011,G20901,남성 의류 소매업,섬유·의복·신발 소매,8107
일반의류,CS300011,G20902,여성 의류 소매업,섬유·의복·신발 소매,34010
일반의류,CS300011,G20903,유아용 의류 소매업,섬유·의복·신발 소매,4391
일반의류,CS300011,G20905,기타 의류 소매업,섬유·의복·신발 소매,51513
일반의원,CS200006,Q10201,내과/소아과 의원,의원,7912
일반의원,CS200006,Q10202,외과 의원,의원,3952
일반의원,CS200006,Q10204,피부/비뇨기과 의원,의원,4862
일반의원,CS200006,Q10209,기타 의원,의원,2575
일식음식점,CS100003,I20301,일식 회/초밥,일식,19499
일식음식점,CS100003,I20302,일식 카레/돈가스/덮밥,일식,2539
일식음식점,CS100003,I20303,일식 면 요리,일식,2292
일식음식점,CS100003,I20399,기타 일식 음식점,일식,512
자동차미용,CS200026,S20302,자동차 세차장,자동차 수리·세차,14318
