소분류코드,소분류명,중분류코드,중분류명,대분류코드,대분류명,전국사업체수
G20201,타이어 소매업,G202,자동차 부품 소매,G2,소매,1766
G20202,자동차 부품 소매업,G202,자동차 부품 소매,G2,소매,7702
G20301,모터사이클 및 부품 소매업,G203,모터사이클 소매,G2,소매,2125
G20404,슈퍼마켓,G204,종합 소매,G2,소매,63862
G20405,편의점,G204,종합 소매,G2,소매,54446
G20499,그 외 기타 종합 소매업,G204,종합 소매,G2,소매,6572
G20501,곡물/곡분 소매업,G205,식료품 소매,G2,소매,2029
G20502,가축 사료 소매업,G205,식료품 소매,G2,소매,895
G20503,정육점,G205,식료품 소매,G2,소매,17852
G20504,건어물/젓갈 소매업,G205,식료품 소매,G2,소매,5204
G20505,수산물 소매업,G205,식료품 소매,G2,소매,9011
G20506,채소/과일 소매업,G205,식료품 소매,G2,소매,19065
G20507,아이스크림 할인점,G205,식료품 소매,G2,소매,237
G20508,건강보조식품 소매업,G205,식료품 소매,G2,소매,15842
G20509,반찬/식료품 소매업,G205,식료품 소매,G2,소매,15005
G20601,얼음 소매업,G206,음료 소매,G2,소매,155
G20602,주류 소매업,G206,음료 소매,G2,소매,982
G20603,생수/음료 소매업,G206,음료 소매,G2,소매,1403
G20604,우유 소매업,G206,음료 소매,G2,소매,482
G20701,담배/전자담배 소매업,G207,담배 소매,G2,소매,4185
G20801,컴퓨터/소프트웨어 소매업,G208,가전·통신 소매,G2,소매,6059
G20802,핸드폰 소매업,G208,가전·통신 소매,G2,소매,21807
G20803,가전제품 소매업,G208,가전·통신 소매,G2,소매,8161
G20901,남성 의류 소매업,G209,섬유·의복·신발 소매,G2,소매,8107
G20902,여성 의류 소매업,G209,섬유·의복·신발 소매,G2,소매,34010
G20903,유아용 의류 소매업,G209,섬유·의복·신발 소매,G2,소매,4391
G20904,한복 소매업,G209,섬유·의복·신발 소매,G2,소매,1095
G20905,기타 의류 소매업,G209,섬유·의복·신발 소매,G2,소매,51513
G20906,침구류/커튼 소매업,G209,섬유·의복·신발 소매,G2,소매,8720
G20907,액세서리/잡화 소매업,G209,섬유·의복·신발 소매,G2,소매,6322
G20908,가발 소매업,G209,섬유·의복·신발 소매,G2,소매,766
G20909,실/섬유제품 소매업,G209,섬유·의복·신발 소매,G2,소매,3217
G20910,신발 소매업,G209,섬유·의복·신발 소매,G2,소매,7822
G20911,가방 소매업,G209,섬유·의복·신발 소매,G2,소매,3999
G21001,철물/공구 소매업,G210,철물·건설자재 소매,G2,소매,15279
G21002,벽지/장판/마루 소매업,G210,철물·건설자재 소매,G2,소매,5575
G21003,건설/건축자재 소매업,G210,철물·건설자재 소매,G2,소매,1363
