상가업종대분류코드,상가업종대분류명,기업생멸_산업대분류,1년생존율,5년생존율,소멸률,기준연도,출처
G2,소매,도·소매업,55.2,32.1,13.0,2023p,국가데이터처 기업생멸행정통계(2024년 발표)
I1,숙박,숙박·음식점업,66.9,27.2,14.7,2023p,국가데이터처 기업생멸행정통계(2024년 발표)
I2,음식,숙박·음식점업,66.9,27.2,14.7,2023p,국가데이터처 기업생멸행정통계(2024년 발표)
L1,부동산,부동산업,65.9,39.6,8.9,2023p,국가데이터처 기업생멸행정통계(2024년 발표)
M1,과학·기술,전문·과학·기술,64.2,41.6,9.7,2023p,국가데이터처 기업생멸행정통계(2024년 발표)
N1,시설관리·임대,사업시설관리업,61.3,30.2,12.2,2023p,국가데이터처 기업생멸행정통계(2024년 발표)
P1,교육,교육서비스업,63.5,35.1,12.9,2023p,국가데이터처 기업생멸행정통계(2024년 발표)
Q1,보건의료,보건·사회복지,84.6,62.9,3.2,2023p,국가데이터처 기업생멸행정통계(2024년 발표)
R1,예술·스포츠,예술·스포츠·여가,67.2,26.8,13.5,2023p,국가데이터처 기업생멸행정통계(2024년 발표)
S2,수리·개인,개인서비스업,68.0,38.3,10.0,2023p,국가데이터처 기업생멸행정통계(2024년 발표)
,(전산업 평균),전산업,64.4,36.4,10.5,2023p,국가데이터처 기업생멸행정통계(2024년 발표)
