시군구코드,시군구명,기준분기,유동인구,유동_남,유동_여,유동_10,유동_20,유동_30,유동_40,유동_50,유동_60이상,상주인구,총가구수,아파트가구,비아파트가구,직장인구
11110,종로구,20211,64341966,32084260,32257707,6750164,10996368,10266307,10820314,10731882,14776945,149349,74935,0,74935,230940
11110,종로구,20212,66739797,32968072,33771719,7098893,11720636,10678715,11083834,11079747,15077975,149349,74935,0,74935,230940
11110,종로구,20213,63583792,31407945,32175848,6623088,11124807,10078630,10606217,10602007,14549039,149349,74935,0,74935,230940
11110,종로구,20214,66974982,32910426,34064552,7045719,12130183,10604205,11097773,11063133,15033966,149349,74935,0,74935,227519
11110,종로구,20221,64579682,31689128,32890557,6860850,11763850,10101696,10601331,10701306,14550652,149349,74935,0,74935,227519
11110,종로구,20222,70354415,34131245,36223170,7750006,13041988,11015007,11422652,11418880,15705878,149349,74935,0,74935,227519
11110,종로구,20223,67884631,32832817,35051813,7368557,12763870,10681739,10989425,11031685,15049353,149349,74935,0,74935,227519
11110,종로구,20224,69870496,33692276,36178229,7706980,13262216,10942025,11234256,11377644,15347397,142900,74935,0,74935,219782
11110,종로구,20231,68350496,33052312,35298186,7213192,12856265,10872253,11088713,11262700,15057375,142900,74935,0,74935,219782
11110,종로구,20232,69035531,33128181,35907353,7669485,13261872,10882907,10996272,11248243,14976752,142900,74935,0,74935,219782
11110,종로구,20233,66318126,31968455,34349674,7091842,12461662,10692465,10722141,10941342,14408681,142900,74935,0,74935,219782
11110,종로구,20234,68732341,33030682,35701659,7553857,13333355,10921238,10999782,11206997,14717116,138891,71657,0,71657,216663
11110,종로구,20241,66649987,32157568,34492411,7028073,12526192,10722866,10878828,10983374,14510654,138891,71657,0,71657,216663
11110,종로구,20242,68281097,32607375,35673721,7561586,13505422,10845643,10877352,10937620,14553468,138891,71657,0,71657,216663
11110,종로구,20243,65170670,31348671,33822001,6858677,12504657,10536978,10581461,10589048,14099850,138891,71657,0,71657,216663
11110,종로구,20244,67784321,32394266,35390056,7312618,13379614,10778712,10895274,10879709,14538389,138891,71657,0,71657,223590
11110,종로구,20251,65283407,31449217,33834184,6740486,12349205,10559995,10691377,10640574,14301767,138891,71657,0,71657,223590
11110,종로구,20252,67472409,32057727,35414681,7279966,13321065,10840236,10899369,10803764,14328016,138891,71657,0,71657,223590
11110,종로구,20253,64498614,30858171,33640444,6514905,12309189,10612718,10687446,10527053,13847303,138891,71657,0,71657,223590
11110,종로구,20254,65802111,31327875,34474236,6861807,12986538,10581366,10717256,10588019,14067120,138891,71657,0,71657,223590
11110,종로구,20261,64461665,30837315,33624355,6576268,12173215,10546859,10718492,10548175,13898654,138891,71657,0,71657,223590
11140,중구,20211,56500463,28457284,28043183,4392558,9055209,11255401,10366849,9362791,12067661,124888,63375,0,63375,417576
11140,중구,20212,58504066,29290335,29213727,4622555,9477522,11698131,10717348,9666346,12322166,124888,63375,0,63375,417576
11140,중구,20213,54994357,27589993,27404360,4348149,8963295,10968519,9985663,9105696,11623028,124888,63375,0,63375,417576
11140,중구,20214,57926597,28988601,28937993,4518554,9679804,11638886,10610961,9559449,11918939,124888,63375,0,63375,420043
11140,중구,20221,56147459,28135597,28011862,4533646,9421690,11181599,10272265,9203238,11535018,124888,63375,0,63375,420043
11140,중구,20222,60761913,30200849,30561064,5118433,10291874,12080989,11083448,9877068,12310102,124888,63375,0,63375,420043
11140,중구,20223,58602928,29153024,29449902,4872097,9967811,11713484,10664462,9536570,11848504,124888,63375,0,63375,420043
11140,중구,20224,60436325,30007239,30429089,5073245,10315347,12085216,10949996,9807214,12205305,121446,63375,0,63375,397274
11140,중구,20231,59566014,29553437,30012577,4885396,10037184,12023874,10882558,9693166,12043837,121446,63375,0,63375,397274
11140,중구,20232,60438347,29766993,30671358,5216597,10179948,12166572,10948944,9789619,12136671,121446,63375,0,63375,397274
11140,중구,20233,58458195,28777884,29680309,4755223,9817077,11937346,10708083,9514892,11725574,121446,63375,0,63375,397274
11140,중구,20234,60590180,29720255,30869922,5103462,10307292,12192769,11016990,9846734,12122927,120961,64443,0,64443,436998
11140,중구,20241,59082215,29001288,30080927,4902800,9926838,11967680,10812800,9598824,11873271,120961,64443,0,64443,436998
11140,중구,20242,59244433,28865500,30378932,4853259,10128282,11965381,10847120,9568422,11881972,120961,64443,0,64443,436998
11140,중구,20243,56925213,27823131,29102088,4503132,9654630,11624294,10525395,9247614,11370148,120961,64443,0,64443,436998
11140,중구,20244,59119567,28700761,30418811,4659522,10146072,12014883,10896205,9521019,11881862,120961,64443,0,64443,406487
11140,중구,20251,57130039,27839452,29290587,4432783,9614345,11684003,10567895,9227514,11603494,120961,64443,0,64443,406487
11140,중구,20252,57720987,28003301,29717687,4614651,9859105,11640831,10633829,9308081,11664494,120961,64443,0,64443,406487
11140,중구,20253,57148488,27695258,29453231,4452936,9637748,11612702,10699209,9267110,11478780,120961,64443,0,64443,406487
11140,중구,20254,56968369,27590703,29377666,4667494,9641107,11318360,10566083,9179908,11595419,120961,64443,0,64443,406487
11140,중구,20261,56038066,27216118,28821952,4596816,9307358,11191084,10510787,9077859,11354155,120961,64443,0,64443,406487
11170,용산구,20211,65905119,31663624,34241492,7780124,10258509,13116124,11614117,9376355,13759886,229381,112556,0,112556,147559
11170,용산구,20212,66133737,31646770,34486967,7900468,10540191,13310126,11535546,9345126,13502283,229381,112556,0,112556,147559
11170,용산구,20213,64697737,30902648,33795092,7690925,10069113,12963036,11259752,9276575,13438335,229381,112556,0,112556,147559
11170,용산구,20214,65725591,31362456,34363132,7920064,10447888,13213391,11393620,9343991,13406640,229381,112556,0,112556,150730
11170,용산구,20221,65112293,31122415,33989879,7931379,10194417,13073003,11279175,9288925,13345398,229381,112556,0,112556,150730
11170,용산구,20222,66417296,31709825,34707473,8317036,10762410,13347676,11433306,9315565,13241302,229381,112556,0,112556,150730
11170,용산구,20223,64632069,30907044,33725019,7881278,10534719,13037472,11226851,9123892,12827857,229381,112556,0,112556,150730
11170,용산구,20224,64038330,30516933,33521395,7786471,10309948,12955694,11230253,9127876,12628090,219681,112556,0,112556,148971
11170,용산구,20231,63770564,30403537,33367025,7591375,10089608,12979855,11221436,9170707,12717588,219681,112556,0,112556,148971
11170,용산구,20232,63775628,30357713,33417916,7775149,10229264,12935910,11196719,9116399,12522185,219681,112556,0,112556,148971
11170,용산구,20233,63238611,30185549,33053064,7587996,10118988,12777199,11136781,9076375,12541279,219681,112556,0,112556,148971
11170,용산구,20234,63716168,30383076,33333089,7745803,10140985,12799543,11319445,9160019,12550378,212914,107664,0,107664,137129
11170,용산구,20241,62142113,29670425,32471686,7429036,9812039,12530095,11114775,8959226,12296942,212914,107664,0,107664,137129
11170,용산구,20242,59713446,28394357,31319088,7380158,9592076,12117540,10682667,8477843,11463156,212914,107664,0,107664,137129
11170,용산구,20243,58581056,27980448,30600605,7185504,9348724,11870028,10502582,8408973,11265239,212914,107664,0,107664,137129
11170,용산구,20244,59598747,28316072,31282671,7283543,9672780,12050182,10694682,8552441,11345119,212914,107664,0,107664,176024
11170,용산구,20251,58778309,28039600,30738713,7001467,9406917,11864252,10644524,8516659,11344491,212914,107664,0,107664,176024
11170,용산구,20252,58440221,27777963,30662254,7265772,9518475,11709240,10528867,8414789,11003078,212914,107664,0,107664,176024
11170,용산구,20253,57930858,27663361,30267494,7120453,9482491,11673533,10435726,8339559,10879091,212914,107664,0,107664,176024
11170,용산구,20254,57452824,27319123,30133706,7123363,9299871,11504245,10390369,8319183,10815797,212914,107664,0,107664,176024
11170,용산구,20261,57722763,27370953,30351817,7122491,9232238,11600295,10511118,8426229,10830393,212914,107664,0,107664,176024
11200,성동구,20211,76432708,36421250,40011459,10528767,12417978,13812029,12414177,11179522,16080239,293523,135787,0,135787,60126
11200,성동구,20212,77070227,36616282,40453943,10692151,13001490,13927557,12491958,11189582,15767483,293523,135787,0,135787,60126
11200,성동구,20213,75172964,35772238,39400724,10365719,12405685,13570782,12238919,11060752,15531109,293523,135787,0,135787,60126
11200,성동구,20214,75874853,36137073,39737780,10354148,12889688,13703735,12278263,11116967,15532049,293523,135787,0,135787,62764
11200,성동구,20221,75380061,35900321,39479739,10318918,12633883,13628310,12246750,11022952,15529259,293523,135787,0,135787,62764
