업종코드,업종명,기준분기,매출금액,매출건수,남성매출,여성매출,연령10,연령20,연령30,연령40,연령50,연령60이상,주중매출,주말매출
CS200019,PC방,20211,108782573566,22869891,91359689873,17400305154,7898955898,65115012958,21970179838,6529926766,5710623876,1535295690,70255896735,38526676831
CS200019,PC방,20212,122023897430,25360415,101909619069,20083853951,9274862650,73093528549,24465526670,7012914742,6365448204,1781192205,78448550473,43575346957
CS200019,PC방,20213,101449097187,21658105,85636547163,15743249597,10034842390,57885153404,20282794709,6380979050,5350742807,1445284404,65550029598,35899067589
CS200019,PC방,20214,102544792180,21711562,86044497311,16402137213,11012073979,55859086875,21082118424,7584621259,5499191855,1409542133,66640350899,35904441281
CS200019,PC방,20221,87548644726,18628567,72718322222,14807599980,6635564238,46488778032,21380629360,6144904605,5533888944,1342157020,56185106774,31363537952
CS200019,PC방,20222,107516446001,22268079,88699320599,18770037676,8456816665,56959948652,26559165843,7398243335,6378194222,1716989556,69209142150,38307303851
CS200019,PC방,20223,119372896087,24220832,97307841479,21964124483,10810811378,62800545293,27818612433,8818371924,7139994597,1883630335,76940762764,42432133323
CS200019,PC방,20224,113092943936,22565251,91677233684,21364529775,11540965812,56497953016,25888240282,9675634767,7874295152,1564674431,71146522681,41946421255
CS200019,PC방,20231,115275253599,22073796,93432935837,21758656989,7487714179,56804274930,31253120512,9125292247,8433834036,2087356921,74883995586,40391258013
CS200019,PC방,20232,110992409556,21157542,89576946250,21335254034,8016565639,52476245167,30814635318,9287745145,8252021322,2064987692,70687344133,40305065423
CS200019,PC방,20233,121732452811,22836973,97582552790,24110206254,9876245416,56506478097,32407658848,11232635527,9486155349,2183585805,76753425941,44979026870
CS200019,PC방,20234,108648003828,20177925,86697838574,21862552506,9765220690,49371570175,28332720925,10506645040,8565328820,2018905431,68904927523,39743076305
CS200019,PC방,20241,103060741967,18814535,82360882606,20657177307,5782857508,44081879522,31998305472,10178194441,8694627972,2282195001,66742877178,36317864789
CS200019,PC방,20242,92182232901,16965801,74288396305,17866801757,5504008401,39550568931,28673456274,8901681867,7655806531,1869676057,59430833319,32751399582
CS200019,PC방,20243,99325859828,18177387,78654570121,20609180578,6879533351,42472119449,29166853329,10369979781,8153147344,2222117450,64529829906,34796029922
CS200019,PC방,20244,88139728231,16055918,69141839579,18864126001,6928704510,36139533483,25391139091,9719888246,7802340057,2024360195,57746633406,30393094825
CS200019,PC방,20251,86168605072,15313553,68027032387,18065700691,4170716875,33868694357,28408030616,9485148604,7997309892,2162832739,55252229362,30916375710
CS200019,PC방,20252,76718214111,13536057,60749721145,15884639120,3923712168,30979595700,24560183980,8190985189,7010287161,1969596060,49358842573,27359371538
