소분류코드,소분류명,시도코드,시도명,시군구코드,시군구명,사업체수
G20201,타이어 소매업,11,서울특별시,11170,용산구,1
G20201,타이어 소매업,11,서울특별시,11200,성동구,22
G20201,타이어 소매업,11,서울특별시,11230,동대문구,20
G20201,타이어 소매업,11,서울특별시,11260,중랑구,3
G20201,타이어 소매업,11,서울특별시,11290,성북구,1
G20201,타이어 소매업,11,서울특별시,11305,강북구,1
G20201,타이어 소매업,11,서울특별시,11320,도봉구,5
G20201,타이어 소매업,11,서울특별시,11350,노원구,5
G20201,타이어 소매업,11,서울특별시,11380,은평구,1
G20201,타이어 소매업,11,서울특별시,11410,서대문구,2
G20201,타이어 소매업,11,서울특별시,11440,마포구,3
G20201,타이어 소매업,11,서울특별시,11470,양천구,4
G20201,타이어 소매업,11,서울특별시,11500,강서구,7
G20201,타이어 소매업,11,서울특별시,11530,구로구,4
G20201,타이어 소매업,11,서울특별시,11545,금천구,1
G20201,타이어 소매업,11,서울특별시,11560,영등포구,6
G20201,타이어 소매업,11,서울특별시,11620,관악구,5
G20201,타이어 소매업,11,서울특별시,11650,서초구,3
G20201,타이어 소매업,11,서울특별시,11680,강남구,3
G20201,타이어 소매업,11,서울특별시,11710,송파구,2
G20201,타이어 소매업,11,서울특별시,11740,강동구,1
G20202,자동차 부품 소매업,11,서울특별시,11110,종로구,7
G20202,자동차 부품 소매업,11,서울특별시,11140,중구,11
G20202,자동차 부품 소매업,11,서울특별시,11170,용산구,12
G20202,자동차 부품 소매업,11,서울특별시,11200,성동구,56
G20202,자동차 부품 소매업,11,서울특별시,11215,광진구,24
G20202,자동차 부품 소매업,11,서울특별시,11230,동대문구,123
G20202,자동차 부품 소매업,11,서울특별시,11260,중랑구,30
G20202,자동차 부품 소매업,11,서울특별시,11290,성북구,21
G20202,자동차 부품 소매업,11,서울특별시,11305,강북구,17
G20202,자동차 부품 소매업,11,서울특별시,11320,도봉구,20
G20202,자동차 부품 소매업,11,서울특별시,11350,노원구,19
G20202,자동차 부품 소매업,11,서울특별시,11380,은평구,19
G20202,자동차 부품 소매업,11,서울특별시,11410,서대문구,10
G20202,자동차 부품 소매업,11,서울특별시,11440,마포구,22
G20202,자동차 부품 소매업,11,서울특별시,11470,양천구,25
G20202,자동차 부품 소매업,11,서울특별시,11500,강서구,42
G20202,자동차 부품 소매업,11,서울특별시,11530,구로구,38
G20202,자동차 부품 소매업,11,서울특별시,11545,금천구,16
G20202,자동차 부품 소매업,11,서울특별시,11560,영등포구,54
G20202,자동차 부품 소매업,11,서울특별시,11590,동작구,13
G20202,자동차 부품 소매업,11,서울특별시,11620,관악구,25
G20202,자동차 부품 소매업,11,서울특별시,11650,서초구,43
G20202,자동차 부품 소매업,11,서울특별시,11680,강남구,67
G20202,자동차 부품 소매업,11,서울특별시,11710,송파구,60
G20202,자동차 부품 소매업,11,서울특별시,11740,강동구,28
G20301,모터사이클 및 부품 소매업,11,서울특별시,11110,종로구,9
G20301,모터사이클 및 부품 소매업,11,서울특별시,11140,중구,37
G20301,모터사이클 및 부품 소매업,11,서울특별시,11170,용산구,24
G20301,모터사이클 및 부품 소매업,11,서울특별시,11200,성동구,19
G20301,모터사이클 및 부품 소매업,11,서울특별시,11215,광진구,34
G20301,모터사이클 및 부품 소매업,11,서울특별시,11230,동대문구,21
G20301,모터사이클 및 부품 소매업,11,서울특별시,11260,중랑구,22
G20301,모터사이클 및 부품 소매업,11,서울특별시,11290,성북구,28
G20301,모터사이클 및 부품 소매업,11,서울특별시,11305,강북구,9
G20301,모터사이클 및 부품 소매업,11,서울특별시,11320,도봉구,5
G20301,모터사이클 및 부품 소매업,11,서울특별시,11350,노원구,10
G20301,모터사이클 및 부품 소매업,11,서울특별시,11380,은평구,18
G20301,모터사이클 및 부품 소매업,11,서울특별시,11410,서대문구,14
G20301,모터사이클 및 부품 소매업,11,서울특별시,11440,마포구,16
G20301,모터사이클 및 부품 소매업,11,서울특별시,11470,양천구,10
